G,Dilution,R1,R2,R3,day,ploidy
0,1,75480,72850,79820,0,NaN
0.000004,1,20320,18450,17810,0,NaN
0.00002,1,18010,17340,21360,0,NaN
0.0001,1,28370,27510,26250,0,NaN
0.0005,1,82620,80980,79980,0,NaN
0.002,1,415800,355400,355200,0,NaN
0.01,1,1841000,1775000,1761000,0,NaN
0.05,1,7843000,7836000,7961000,0,NaN
0,10,104700,108300,105500,0,NaN
0.1,10,1207000,1241000,1267000,0,NaN
0.25,10,3024000,3300000,3270000,0,NaN
0.5,10,5838000,5948000,5970000,0,NaN
1,100,2000000,2091000,2183000,0,NaN
5,100,7221000,7229000,7287000,0,NaN
25,500,7105000,7132000,7134000,0,NaN
0,10,397300,410600,424700,1,2N
0.1,10,930300,975200,1048000,1,2N
0.25,10,2087000,2151000,2255000,1,2N
0.5,10,4651000,4655000,4679000,1,2N
1,100,1827000,1825000,1819000,1,2N
5,100,7158000,7100000,7161000,1,2N
25,500,7253000,7041000,7032000,1,2N
0,10,167600,244000,248600,1,4N
0.1,10,678200,649300,636600,1,4N
0.25,10,1699000,1616000,1554000,1,4N
0.5,10,3985000,3812000,3647000,1,4N
1,100,1351000,1337000,1254000,1,4N
5,100,7492000,7360000,7279000,1,4N
25,500,7640000,7630000,7629000,1,4N
0,10,125500,118300,113900,2,2N
0.1,10,242400,233400,245400,2,2N
0.25,10,501700,459200,479100,2,2N
0.5,10,1257000,1144000,1143000,2,2N
1,100,765900,771600,767500,2,2N
5,100,6672000,6643000,6605000,2,2N
25,500,6812000,6838000,6941000,2,2N
0,10,109900,112300,111700,2,4N
0.1,10,105300,97720,105000,2,4N
0.25,10,183200,161600,150800,2,4N
0.5,10,520300,354100,391600,2,4N
1,100,306700,275500,312900,2,4N
5,100,6829000,6909000,6592000,2,4N
25,500,7499000,7515000,7483000,2,4N
0,10,48610,47170,47900,3,2N
0.1,10,52010,51690,63530,3,2N
0.25,10,63260,56030,87120,3,2N
0.5,10,81950,71280,135600,3,2N
1,100,130600,112200,137300,3,2N
5,100,5253000,5115000,5391000,3,2N
25,500,6887000,6586000,6958000,3,2N
0,10,81060,79520,80490,3,4N
0.1,10,32610,30910,31270,3,4N
0.25,10,27380,24650,25450,3,4N
0.5,10,39130,30560,27760,3,4N
1,100,73400,65050,58160,3,4N
5,100,4179000,4198000,3808000,3,4N
25,500,7446000,7424000,7466000,3,4N
